CarNum,numofseats,numofbags,type,When
TS 7 LZ 5485,5,two,Sedan,Later
TS 21 RF 6837,8,six,Sedan,Now
TS 70 YU 91810,5,four,Hatchback,Later
TS 50 IJ 4982,2,one,Sedan,Now
TS 53 AA 6871,4,four,SUV,Now
TS 78 YE 3358,4,seven,SUV,Later
TS 81 QV 4782,3,six,SUV,Now
TS 89 XH 25108,7,two,Hatchback,Later
TS 51 KI 8377,7,seven,Sedan,Now
TS 33 NN 35101,8,eight,Sedan,Later
TS 3 DM 8558,7,six,SUV,Later
TS 65 OE 75101,7,eight,Hatchback,Now
TS 78 EQ 10396,5,seven,Sedan,Later
TS 82 UK 8257,4,two,Hatchback,Later
TS 72 ZW 9667,5,seven,Sedan,Later
TS 58 WM 2265,8,five,Sedan,Later
TS 97 OY 7182,5,seven,SUV,Later
TS 94 LA 2272,4,six,Hatchback,Now
TS 41 RG 7125,2,four,Hatchback,Later
TS 62 KY 61076,6,two,Sedan,Later
TS 91 XG 8212,2,five,SUV,Now
TS 7 VL 6887,8,one,Sedan,Now
TS 75 SG 6566,4,seven,SUV,Now
TS 56 VD 8587,8,seven,Hatchback,Now
TS 100 OX 36105,3,six,Hatchback,Later
TS 90 UA 3639,4,two,SUV,Later
TS 82 UU 8379,3,four,Sedan,Later
TS 66 YJ 10187,5,three,Hatchback,Later
TS 94 AI 7982,3,seven,Sedan,Later
TS 57 AH 4974,3,three,Sedan,Now
TS 98 WJ 7273,3,four,Sedan,Later
TS 71 AA 3147,7,four,SUV,Later
TS 24 IV 19106,5,five,Hatchback,Now
TS 77 HL 3561,5,four,SUV,Later
TS 87 HJ 7947,7,three,Hatchback,Now
TS 76 FV 1458,7,six,Hatchback,Later
TS 79 ZZ 6638,2,three,Sedan,Now
TS 23 WY 5368,2,three,Sedan,Later
TS 57 MZ 9389,6,six,SUV,Now
TS 75 FI 2664,2,six,SUV,Now
TS 1 HD 10695,5,four,Sedan,Later
TS 44 YO 97103,2,five,Sedan,Later
TS 53 GV 64210,4,eight,Hatchback,Later
TS 66 NT 1154,5,two,Hatchback,Later
TS 7 ID 6766,6,three,Sedan,Later
TS 11 ID 6182,3,four,Hatchback,Later
TS 97 GG 7446,2,five,Sedan,Later
TS 4 PT 10928,5,one,Sedan,Later
TS 83 LH 71061,3,two,Sedan,Later
TS 75 KV 10286,2,two,SUV,Later
TS 30 HZ 31094,7,six,Sedan,Now
TS 25 FF 88109,5,six,Hatchback,Later
TS 21 LF 9485,7,one,SUV,Now
TS 64 UA 61068,6,five,Sedan,Later
TS 51 AP 7289,8,one,Hatchback,Later
TS 35 DA 2575,3,eight,Sedan,Now
TS 24 SI 41018,5,two,Sedan,Later
TS 38 WP 1367,7,seven,Sedan,Later
TS 89 KE 2894,5,six,SUV,Later
TS 14 QC 59210,6,six,Sedan,Later
TS 67 YT 7619,8,three,Sedan,Now
TS 59 XS 10617,8,four,Hatchback,Now
TS 73 EJ 5495,8,seven,Sedan,Later
TS 3 QH 8385,6,six,Hatchback,Later
TS 55 CN 9566,7,six,Sedan,Now
TS 32 IW 6645,4,four,Sedan,Now
TS 50 FM 710103,8,two,SUV,Now
TS 41 QH 7356,4,four,Hatchback,Now
TS 79 PC 9467,6,one,Sedan,Now
TS 82 XH 7816,7,two,SUV,Now
TS 56 DT 5794,3,three,Sedan,Later
TS 50 GP 9291,4,six,SUV,Later
TS 38 RI 13410,6,five,Hatchback,Now
TS 99 CM 21014,6,two,Sedan,Now
TS 41 KE 7271,4,eight,SUV,Now
TS 14 KK 9423,8,five,Hatchback,Now
TS 84 TM 1826,3,five,SUV,Later
TS 48 WR 8266,2,four,Hatchback,Later
TS 95 BY 46107,6,eight,Hatchback,Later
TS 94 NF 1215,3,seven,SUV,Later
TS 97 ZO 4755,4,seven,Sedan,Now
TS 90 ZG 10567,3,seven,Sedan,Now
TS 74 PU 6355,6,one,Sedan,Now
TS 79 JW 57710,4,one,SUV,Now
TS 87 JH 6989,2,four,Sedan,Later
TS 61 RQ 9865,8,two,Sedan,Later
TS 30 EY 6655,8,three,Hatchback,Now
TS 8 DV 21039,5,eight,Hatchback,Now
TS 26 YU 1988,3,eight,Sedan,Now
TS 6 EY 5822,2,seven,Sedan,Now
TS 20 SH 5511,8,five,Hatchback,Now
TS 37 MU 4765,2,seven,SUV,Later
TS 62 XV 6895,5,six,SUV,Later
TS 81 IZ 1615,4,four,Sedan,Later
TS 63 MT 78104,3,one,Hatchback,Now
TS 74 OZ 6524,2,five,Sedan,Now
TS 76 NQ 6897,2,four,SUV,Now
TS 99 UX 6891,6,eight,Sedan,Now
TS 7 QN 61028,8,two,Sedan,Later
TS 17 PC 7355,7,three,Hatchback,Now
